"title"	"track_n"	"text"	"album"	"artist"
"294"	"Clampdown"	9	"And the spool goes 'round"	"London Calling"	"The Clash"
"295"	"Clampdown"	9	"Sayin' I'm back here in this place"	"London Calling"	"The Clash"
"296"	"Clampdown"	9	"And I could cry"	"London Calling"	"The Clash"
"297"	"Clampdown"	9	"And there's smoke you could click on)"	"London Calling"	"The Clash"
"298"	"Clampdown"	9	"A'what are we gonna do now?"	"London Calling"	"The Clash"
"299"	"Clampdown"	9	"Takin' off his turban, they said, \"Is this man a Jew?\""	"London Calling"	"The Clash"
"300"	"Clampdown"	9	"Workin' for the clampdown"	"London Calling"	"The Clash"
"301"	"Clampdown"	9	"They put up a poster sayin' \"We earn more than you!\""	"London Calling"	"The Clash"
"302"	"Clampdown"	9	"We're workin' for the clampdown"	"London Calling"	"The Clash"
"303"	"Clampdown"	9	"We will teach our twisted speech"	"London Calling"	"The Clash"
"304"	"Clampdown"	9	"To the unbelievers"	"London Calling"	"The Clash"
"305"	"Clampdown"	9	"We will train our blue-eyed men"	"London Calling"	"The Clash"
"306"	"Clampdown"	9	"To the unbelievers"	"London Calling"	"The Clash"
